ID,Vendor,Wine,Region,Country,Vintage,Category,Vendor Wines,Size,Alcohol Volume,Slug,wineType,grapeVarieties,Sweetness,Freshness,Texture,fruitNotes,herbalNotes,mineralNotes,nuttyNotes,ageingNotes,Distributor,Cost ex Vat,Suggested Price,List Price,Barcode,SKU,Handle,Tags,Backorder,Name (from Distributor),Name (from Vendor),Vendor ID (from Vendor),Wine Count
111,Brič,Sivi Pinot,Istra,Slovenija,2023,Belo,1,750,"14,00%",bric-sivi-pinot-2023-750ml,Belo,Pinot Gris,0,,,,,,,,Brič,"€8,72","€13,83","13,99",3830035791003,30070001,bric-sivi-pinot-2023-750ml,"Belo,Istra,Slovenija",checked,Brič,Brič,0070,001
112,Brič,Cabernet Franc,Istra,Slovenija,2018,Rdeče,2,750,"14,00%",bric-cabernet-franc-2018-750ml,Rdeče,Cabernet Franc,0,,,,,,,,Brič,"€9,84","€15,61","15,99",3830035799658,40070002,bric-cabernet-franc-2018-750ml,"Rdeče,Istra,Slovenija",checked,Brič,Brič,0070,002
113,Vilij Bržan,Refošk Antique,Istra,Slovenija,2023,Rdeče,1,750,"12,00%",vilij-brzan-refosk-antique-2023-750ml,Rdeče,Refosco,0,,,,,,,,Vilij Bržan,"€10,50","€16,65","14,99",,40071001,vilij-brzan-refosk-antique-2023-750ml,"Rdeče,Istra,Slovenija",checked,Vilij Bržan,Vilij Bržan,0071,001
114,Vilij Bržan,Cipro,Istra,Slovenija,2023,Sladko,2,500,"14,00%",vilij-brzan-cipro-2023-500ml,Sladko,Cipro,4,,,,,,,,Vilij Bržan,"€8,50","€13,48","11,99",,50071002,vilij-brzan-cipro-2023-500ml,"Sladko,Istra,Slovenija",checked,Vilij Bržan,Vilij Bržan,0071,002
119,Tonin,"Malvazija, Cru Rete",Istra,Slovenija,2023,Belo,2,750,"13,50%",tonin-malvazija-cru-rete-2023-750ml,Belo,Malvasia,0,,,,,,,,Tonin,"€11,50","€18,24","18,99",3830070630275,30061002,tonin-malvazija-cru-rete-2023-750ml,"Belo,Istra,Slovenija",checked,Tonin,Tonin,0061,002
120,Bailly Lapierre,"Rose, Brut",Bourgogne,Francija,NV,Mehurčki,1,750,"12,00%",bailly-lapierre-rose-brut-nv-750ml,Mehurčki,"Gamay,Pinot Noir",0,,,,,,,,EVino,"€10,03","€15,91","15,99",3371804802044,10072001,bailly-lapierre-rose-brut-nv-750ml,"Mehurčki,Bourgogne,Francija",checked,EVino,Bailly Lapierre,0072,001
121,Pasji Rep,Zelen,Vipavska Dolina,Slovenija,2023,Belo,2,750,"12,00%",pasji-rep-zelen-2023-750ml,Belo,Zelen,0,,,,,,,,EVino,"€8,16","€12,94","12,99",3830059970040,30048002,pasji-rep-zelen-2023-750ml,"Belo,Vipavska Dolina,Slovenija",checked,EVino,Pasji Rep,0048,002
122,Chateau Pech Latt,L'Ile Ardente,Corbiere,Francija,2021,Rdeče,1,750,"13,00%",chateau-pech-latt-l'ile-ardente-2021-750ml,Rdeče,"Mourvedre,Grenache,Cinsault",0,,,,,,,,EVino,"€14,19","€22,51","22,99",3760001568554,40073001,chateau-pech-latt-l'ile-ardente-2021-750ml,"Rdeče,Corbiere,Francija",checked,EVino,Chateau Pech Latt,0073,001
123,Can Sumoi,La Rosa,Penedes,Španija,2023,Rose,1,750,"12,00%",can-sumoi-la-rosa-2023-750ml,Rose,"Sumol,Xarel-lo,Parellada",1,,,,,,,,EVino,"€9,35","€14,83","14,99",8421478601551,20074001,can-sumoi-la-rosa-2023-750ml,"Rose,Penedes,Španija",checked,EVino,Can Sumoi,0074,001
124,Campo di Sasso,SOF,Toscana,Italija,2022,Rose,2,750,"12,50%",campo-di-sasso-sof-2022-750ml,Rose,"Cabernet Franc,Syrah",0,,,,,,,,EVino,"€18,70","€29,66","29,99",2838312345674,20076002,campo-di-sasso-sof-2022-750ml,"Rose,Toscana,Italija",checked,EVino,Campo di Sasso,0076,002
125,Sveti Martin,Pinela,Vipavska Dolina,Slovenija,2024,Belo,1,750,"12,50%",sveti-martin-pinela-2024-750ml,Belo,Pinela,0,,,,,,,,Sveti Martin,"€7,70","€12,21","11,99",,30075001,sveti-martin-pinela-2024-750ml,"Belo,Vipavska Dolina,Slovenija",checked,Sveti Martin,Sveti Martin,0075,001
126,Sveti Martin,Barbera,Vipavska Dolina,Slovenija,2021,Rdeče,2,750,"14,00%",sveti-martin-barbera-2021-750ml,Rdeče,Barbera,0,,,,,,,,Sveti Martin,"€11,20","€17,76","16,99",,40075002,sveti-martin-barbera-2021-750ml,"Rdeče,Vipavska Dolina,Slovenija",checked,Sveti Martin,Sveti Martin,0075,002
127,Kendall-Jackson,"Cabernet Reserve, Vintners Reserve",California,ZDA,2019,Rdeče,1,750,"14,50%",kendall-jackson-cabernet-reserve-vintners-reserve-2019-750ml,Rdeče,Cabernet Sauvignon,0,,,,,,,,EVino,"€19,13","€30,34","29,99",81584013174,40078001,kendall-jackson-cabernet-reserve-vintners-reserve-2019-750ml,"Rdeče,California,ZDA",checked,EVino,Kendall-Jackson,0078,001
128,Montis,Malvazija,Istra,Slovenija,2022,Belo,1,750,"14,50%",montis-malvazija-2022-750ml,Belo,Malvasia,0,,,,,,,,Montis,"€10,80","€17,13","16,99",,30079001,montis-malvazija-2022-750ml,"Belo,Istra,Slovenija",checked,Montis,Montis,0079,001
129,Montis,"Laura, Refošk",Istra,Slovenija,2021,Rdeče,2,750,"12,00%",montis-laura-refosk-2021-750ml,Rdeče,Refosco,0,,,,,,,,Montis,"€20,52","€32,54","29,99",,40079002,montis-laura-refosk-2021-750ml,"Rdeče,Istra,Slovenija",checked,Montis,Montis,0079,002
